,0
2021-07-03 01:30:00,-0.809056377
2021-07-03 01:45:00,-0.332343872
2021-07-03 02:00:00,0.023678883
2021-07-03 02:15:00,-0.348432107
2021-07-03 02:30:00,-0.378553049
2021-07-03 02:45:00,-0.483383796
2021-07-03 03:00:00,-0.329638564
2021-07-03 03:15:00,-0.280521888
2021-07-03 03:30:00,-0.306534066
2021-07-03 03:45:00,-0.19224815
2021-07-03 04:00:00,-0.360024193
2021-07-03 04:15:00,-0.262561506
2021-07-03 04:30:00,-0.331656931
2021-07-03 04:45:00,-0.468942858
2021-07-03 05:00:00,-0.455829904
2021-07-03 05:15:00,-0.328351637
2021-07-03 05:30:00,0.032827419
2021-07-03 05:45:00,-0.08238276
2021-07-03 06:00:00,0.499241783
2021-07-03 06:15:00,0.360732293
2021-07-03 06:30:00,0.732571827
2021-07-03 06:45:00,1.13675427
2021-07-03 07:00:00,1.708109829
2021-07-03 07:15:00,1.706009129
2021-07-03 07:30:00,1.695656585
2021-07-03 07:45:00,1.580724433
2021-07-03 08:00:00,1.432669169
2021-07-03 08:15:00,1.578375949
2021-07-03 08:30:00,1.194692351
2021-07-03 08:45:00,1.162466712
2021-07-03 09:00:00,1.201502313
2021-07-03 09:15:00,1.057293331
2021-07-03 09:30:00,1.025228121
2021-07-03 09:45:00,0.936493961
2021-07-03 10:00:00,0.937430999
2021-07-03 10:15:00,0.850770378
2021-07-03 10:30:00,0.727364138
2021-07-03 10:45:00,0.636549086
2021-07-03 11:00:00,0.471054927
2021-07-03 11:15:00,0.27377257
2021-07-03 11:30:00,0.152233951
2021-07-03 11:45:00,-0.148292263
2021-07-03 12:00:00,-0.764320296
2021-07-03 12:15:00,-0.871761264
2021-07-03 12:30:00,-1.016808825
2021-07-03 12:45:00,-1.027758845
2021-07-03 13:00:00,-0.728865436
2021-07-03 13:15:00,-0.495086227
2021-07-03 13:30:00,-0.380527421
2021-07-03 13:45:00,-0.398037138
2021-07-03 14:00:00,-0.330363981
2021-07-03 14:15:00,-0.325350512
2021-07-03 14:30:00,-0.337044194
2021-07-03 14:45:00,-0.461597498
2021-07-03 15:00:00,-0.51595241
2021-07-03 15:15:00,-0.612744465
2021-07-03 15:30:00,-0.486800065
2021-07-03 15:45:00,-0.712509784
2021-07-03 16:00:00,-0.404047012
2021-07-03 16:15:00,-0.524493854
2021-07-03 16:30:00,-0.536154633
2021-07-03 16:45:00,-0.431465223
2021-07-03 17:00:00,-0.606495069
2021-07-03 17:15:00,-0.497364082
2021-07-03 17:30:00,-0.284865145
2021-07-03 17:45:00,-0.666014843
2021-07-03 18:00:00,-0.499061687
2021-07-03 18:15:00,-0.273852848
2021-07-03 18:30:00,-0.251718099
2021-07-03 18:45:00,-0.442171873
2021-07-03 19:00:00,-0.475031463
2021-07-03 19:15:00,-0.48071675
2021-07-03 19:30:00,-0.153907596
2021-07-03 19:45:00,-0.043643151
2021-07-03 20:00:00,0.152618617
2021-07-03 20:15:00,0.462370567
2021-07-03 20:30:00,1.046160582
2021-07-03 20:45:00,1.740819161
2021-07-03 21:00:00,2.048542861
2021-07-03 21:15:00,2.100169515
2021-07-03 21:30:00,2.039672304
2021-07-03 21:45:00,2.023575822
2021-07-03 22:00:00,1.90574534
2021-07-03 22:15:00,1.94829831
2021-07-03 22:30:00,1.97744634
2021-07-03 22:45:00,1.596894524
2021-07-03 23:00:00,1.718519071
2021-07-03 23:15:00,1.535511369
2021-07-03 23:30:00,1.396334977
2021-07-03 23:45:00,1.24557721
2021-07-04 00:00:00,1.090033576
2021-07-04 00:15:00,1.052456859
2021-07-04 00:30:00,0.490654975
2021-07-04 00:45:00,0.648682425
2021-07-04 01:00:00,0.508479978
2021-07-04 01:15:00,0.203761782
2021-07-04 01:30:00,-0.172285769
2021-07-04 01:45:00,-0.573284327
2021-07-04 02:00:00,-0.850112779
2021-07-04 02:15:00,-0.869687149
2021-07-04 02:30:00,-0.933880789
2021-07-04 02:45:00,-0.879356243
2021-07-04 03:00:00,-0.617881157
2021-07-04 03:15:00,-0.180761964
2021-07-04 03:30:00,-0.339744867
2021-07-04 03:45:00,-0.565260415
2021-07-04 04:00:00,-0.599097789
2021-07-04 04:15:00,-0.550882475
2021-07-04 04:30:00,-0.774490835
2021-07-04 04:45:00,-1.005420837
2021-07-04 05:00:00,-0.694078637
2021-07-04 05:15:00,-0.437885524
2021-07-04 05:30:00,-0.172173161
2021-07-04 05:45:00,-0.128587873
2021-07-04 06:00:00,0.010220306
2021-07-04 06:15:00,-0.060879774
2021-07-04 06:30:00,0.010472809
2021-07-04 06:45:00,-0.062253412
