Sample time,Discharge,Stage (m)
3/28/2020 22:31,0.064248502,-0.580843392
3/28/2020 22:46,-0.494838711,-0.538525155
3/28/2020 23:01,0.248813042,-0.496929635
3/28/2020 23:16,-0.217837695,-0.457960118
3/28/2020 23:31,0.199997002,-0.421643709
3/28/2020 23:46,-0.294399085,-0.389609587
3/29/2020 0:01,0.009666417,-0.360294267
3/29/2020 0:16,0.620269502,-0.333124345
3/29/2020 0:31,-0.289527241,-0.306011428
3/29/2020 0:46,-0.294926082,-0.279404158
3/29/2020 1:01,-0.085210752,-0.252588921
3/29/2020 1:16,-0.597826868,-0.226222783
3/29/2020 1:31,-0.45945012,-0.200990644
3/29/2020 1:46,-0.114798979,-0.1763638
3/29/2020 2:01,0.343146927,-0.152853484
3/29/2020 2:16,-0.299687326,-0.130050085
3/29/2020 2:31,0.221560064,-0.108992852
3/29/2020 2:46,-0.440589569,-0.088769549
3/29/2020 3:01,0.226925517,-0.070693174
3/29/2020 3:16,-0.531533222,-0.054546332
3/29/2020 3:31,0.806538687,-0.040722797
3/29/2020 3:46,0.535740812,-0.030881
3/29/2020 4:01,1.088916393,-0.028022217
3/29/2020 4:16,1.084296322,-0.035021624
3/29/2020 4:31,2.261721884,-0.058240169
3/29/2020 4:46,2.264666012,-0.094310662
3/29/2020 5:01,2.568386199,-0.135253956
3/29/2020 5:16,2.443708933,-0.180801646
3/29/2020 5:31,2.463841064,-0.229160119
3/29/2020 5:46,2.333913304,-0.279547329
3/29/2020 6:01,2.340676394,-0.331795994
3/29/2020 6:16,2.314966866,-0.386756445
3/29/2020 6:31,2.386284311,-0.44327915
3/29/2020 6:46,2.14083586,-0.50208848
3/29/2020 7:01,1.999677288,-0.563642041
3/29/2020 7:16,2.003004549,-0.627729016
3/29/2020 7:31,1.804449832,-0.694375973
3/29/2020 7:46,1.83613079,-0.764481838
3/29/2020 8:01,1.689792799,-0.834725785
3/29/2020 8:16,1.535596352,-0.905434758
3/29/2020 8:31,1.430082589,-0.974207969
3/29/2020 8:46,1.320352763,-1.038442814
3/29/2020 9:01,1.127334578,-1.091731982
3/29/2020 9:16,0.982706358,-1.126427034
3/29/2020 9:31,0.700046055,-1.126582804
3/29/2020 9:46,0.29320731,-1.077783579
3/29/2020 10:01,0.131859684,-0.996973191
3/29/2020 10:16,0.00603472,-0.909927049
3/29/2020 10:31,-0.008454358,-0.8281658
3/29/2020 10:46,0.03878247,-0.763476867
3/29/2020 11:01,0.339802675,-0.715832104
3/29/2020 11:16,0.367513388,-0.681838531
3/29/2020 11:31,0.148945757,-0.648444121
3/29/2020 11:46,0.442994693,-0.617713734
3/29/2020 12:01,0.474784878,-0.582968019
3/29/2020 12:16,0.046641346,-0.551994322
3/29/2020 12:31,0.616799445,-0.521619982
3/29/2020 12:46,0.290302395,-0.490423882
3/29/2020 13:01,0.111405619,-0.465983513
3/29/2020 13:16,-0.34718066,-0.436493714
3/29/2020 13:31,1.096302159,-0.414160741
3/29/2020 13:46,0.16125059,-0.390812702
3/29/2020 14:01,0.053653209,-0.369487205
3/29/2020 14:16,0.143951704,-0.348155928
3/29/2020 14:31,0.485582739,-0.330334338
3/29/2020 14:46,0.928249502,-0.311478432
3/29/2020 15:01,0.799409901,-0.295457307
3/29/2020 15:16,0.527709822,-0.276507824
3/29/2020 15:31,0.391817896,-0.256867135
3/29/2020 15:46,0.806054253,-0.240352666
3/29/2020 16:01,0.519142748,-0.233538533
3/29/2020 16:16,1.338860027,-0.237644265
3/29/2020 16:31,1.678721046,-0.257222113
3/29/2020 16:46,2.097093482,-0.297048046
3/29/2020 17:01,2.073782129,-0.343911516
3/29/2020 17:16,2.06592687,-0.393196594
3/29/2020 17:31,2.034028692,-0.441826517
3/29/2020 17:46,1.981140288,-0.489371978
3/29/2020 18:01,1.792139809,-0.536533124
3/29/2020 18:16,1.794887474,-0.586431975
3/29/2020 18:31,1.467331154,-0.639094675
3/29/2020 18:46,1.567036983,-0.694422429
3/29/2020 19:01,1.598971488,-0.752612167
3/29/2020 19:16,1.479458656,-0.81444947
3/29/2020 19:31,1.336272568,-0.877071546
3/29/2020 19:46,1.399835507,-0.941424113
3/29/2020 20:01,1.344005878,-1.006067477
3/29/2020 20:16,1.199940705,-1.06409593
3/29/2020 20:31,1.059466575,-1.117578802
3/29/2020 20:46,0.889727061,-1.159908982
3/29/2020 21:01,0.788619835,-1.186640856
3/29/2020 21:16,0.443381633,-1.175227303
3/29/2020 21:31,0.257879366,-1.116298929
3/29/2020 21:46,0.017461989,-1.031488103
3/29/2020 22:01,-0.330661595,-0.937289716
3/29/2020 22:16,-0.24239936,-0.853369708
3/29/2020 22:31,-0.227177616,-0.785596076
3/29/2020 22:46,-0.156890932,-0.730755803
3/29/2020 23:01,-0.061113876,-0.681663027
3/29/2020 23:16,-0.420703173,-0.635584527
3/29/2020 23:31,-0.010455944,-0.591238796
3/29/2020 23:46,-0.432984023,-0.549286286
3/30/2020 0:01,-0.2085977,-0.513616415
3/30/2020 0:16,0.109811391,-0.484617004
3/30/2020 0:31,0.132679217,-0.458303418
3/30/2020 0:46,0.198537691,-0.431401787
3/30/2020 1:01,0.611084674,-0.403088432
3/30/2020 1:16,0.053437651,-0.375027895
3/30/2020 1:31,0.144116421,-0.346559047
3/30/2020 1:46,-0.012875258,-0.319487543
3/30/2020 2:01,-0.338770718,-0.292584547
3/30/2020 2:16,0.034000961,-0.266790183
3/30/2020 2:31,0.010498775,-0.241936876
3/30/2020 2:46,-0.18503557,-0.218553985
3/30/2020 3:01,-0.138102199,-0.196648625
3/30/2020 3:16,-0.089660601,-0.176114435
3/30/2020 3:31,-0.116205577,-0.157609176
3/30/2020 3:46,-0.014508083,-0.141772988
3/30/2020 4:01,0.530026344,-0.128809483
3/30/2020 4:16,-0.145069649,-0.120533277
3/30/2020 4:31,0.402797856,-0.119202192
3/30/2020 4:46,1.177320014,-0.130282245
3/30/2020 5:01,2.044035384,-0.160599804
3/30/2020 5:16,2.086012169,-0.203694705
3/30/2020 5:31,2.044557475,-0.251212085
3/30/2020 5:46,2.113667457,-0.301531604
3/30/2020 6:01,2.148943341,-0.353345259
3/30/2020 6:16,2.089952678,-0.405626484
3/30/2020 6:31,1.925354825,-0.458882348
3/30/2020 6:46,1.587785414,-0.5140178
3/30/2020 7:01,1.722972565,-0.571517046
3/30/2020 7:16,1.817519532,-0.631405527
3/30/2020 7:31,1.66668602,-0.695799888
3/30/2020 7:46,1.027146213,-0.762126202
3/30/2020 8:01,1.604745241,-0.831868437
3/30/2020 8:16,1.425154451,-0.90487735
3/30/2020 8:31,1.344288825,-0.979817087
3/30/2020 8:46,1.260570978,-1.054627666
3/30/2020 9:01,1.172486015,-1.130387536
3/30/2020 9:16,1.065808853,-1.203444613
3/30/2020 9:31,0.947947373,-1.266297677
3/30/2020 9:46,0.655393317,-1.2979528
3/30/2020 10:01,0.437173631,-1.277463331
3/30/2020 10:16,0.199272587,-1.209257955
3/30/2020 10:31,0.156382705,-1.12889895
3/30/2020 10:46,0.076865088,-1.047349972
3/30/2020 11:01,-0.020275901,-0.973165059
3/30/2020 11:16,0.07579426,-0.902694691
3/30/2020 11:31,0.255897639,-0.850357354
3/30/2020 11:46,0.29607208,-0.810994829
3/30/2020 12:01,0.305363489,-0.777829537
3/30/2020 12:16,0.426770961,-0.748330343
3/30/2020 12:31,0.421326612,-0.720053672
3/30/2020 12:46,0.347125107,-0.692237713
3/30/2020 13:01,0.268964504,-0.663543245
3/30/2020 13:16,0.383833222,-0.632176467
3/30/2020 13:31,0.521804239,-0.603372604
3/30/2020 13:46,-0.123231229,-0.576014191
3/30/2020 14:01,0.027498646,-0.551803722
3/30/2020 14:16,-0.323347223,-0.528004628
3/30/2020 14:31,0.327338306,-0.502767506
3/30/2020 14:46,0.252339703,-0.478879182
3/30/2020 15:01,-0.506848034,-0.457132857
3/30/2020 15:16,-0.305054462,-0.437389136
3/30/2020 15:31,0.243110371,-0.417658519
3/30/2020 15:46,-0.358133783,-0.39483505
3/30/2020 16:01,-0.012407933,-0.371169528
3/30/2020 16:16,0.456117268,-0.35111561
3/30/2020 16:31,1.046240351,-0.337925645
3/30/2020 16:46,0.597755901,-0.332902233
3/30/2020 17:01,0.505760468,-0.337204198
3/30/2020 17:16,0.988775944,-0.35533923
3/30/2020 17:31,1.629674536,-0.395950306
3/30/2020 17:46,1.608789193,-0.44814049
3/30/2020 18:01,1.865823289,-0.499385775
3/30/2020 18:16,1.678276352,-0.548950777
3/30/2020 18:31,1.5746399,-0.598164885
3/30/2020 18:46,1.526825923,-0.647909734
3/30/2020 19:01,1.355718843,-0.700856088
3/30/2020 19:16,1.480297747,-0.757104055
3/30/2020 19:31,1.03674152,-0.816894367
3/30/2020 19:46,1.319020873,-0.879349951
3/30/2020 20:01,1.306004234,-0.941427729
3/30/2020 20:16,1.292552062,-1.007060789
3/30/2020 20:31,1.191889648,-1.069852346
3/30/2020 20:46,1.08687766,-1.129730431
3/30/2020 21:01,0.8770834,-1.179726995
3/30/2020 21:16,0.68426013,-1.222150041
3/30/2020 21:31,0.661665123,-1.245860666
3/30/2020 21:46,0.34312081,-1.234251122
3/30/2020 22:01,0.256175655,-1.185369029
3/30/2020 22:16,-0.073278014,-1.104510656
3/30/2020 22:31,-0.266754395,-1.016206189
3/30/2020 22:46,-0.456895862,-0.926399624
